# inicio_ms,1789845092408
# RTV V3.6 - diario de campana (evento,campos...). Solo se anade.
PASO,1,HECHO,,"2026-09-19T14:13:13-0500",calentamiento confirmado por el operador
BATERIA,"2026-09-19T14:13:18-0500",87,"Batería 11,29 V (n = 87)"
PASO,2,HECHO,,"2026-09-19T14:13:18-0500","Batería 11,29 V (n = 87)"
DISPARO,S017,9,"2026-09-19T14:36:17-0500","::1087",1087,3
VEREDICTO,S017,OK,1,
SERIE,S018,"2026-09-19T14:36:33-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P36,0,e
DISPARO,S018,1,"2026-09-19T14:36:36-0500","::645",645,1
DISPARO,S018,2,"2026-09-19T14:36:38-0500","::642",642,1
DISPARO,S018,3,"2026-09-19T14:36:39-0500","::630",630,1
DISPARO,S018,4,"2026-09-19T14:36:46-0500","::637",637,2
DISPARO,S018,5,"2026-09-19T14:36:47-0500","::629",629,2
DISPARO,S018,6,"2026-09-19T14:36:49-0500","::641",641,2
DISPARO,S018,7,"2026-09-19T14:36:55-0500","::629",629,3
DISPARO,S018,8,"2026-09-19T14:36:57-0500","::636",636,3
DISPARO,S018,9,"2026-09-19T14:36:58-0500","::641",641,3
VEREDICTO,S018,DUDOSO,0,repetida
SERIE,S019,"2026-09-19T14:37:07-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P36,0,e
DISPARO,S019,1,"2026-09-19T14:37:10-0500","::634",634,1
DISPARO,S019,2,"2026-09-19T14:37:11-0500","::641",641,1
DISPARO,S019,3,"2026-09-19T14:37:13-0500","::639",639,1
DISPARO,S019,4,"2026-09-19T14:37:21-0500","::633",633,2
DISPARO,S019,5,"2026-09-19T14:37:22-0500","::625",625,2
DISPARO,S019,6,"2026-09-19T14:37:24-0500","::641",641,2
DISPARO,S019,7,"2026-09-19T14:37:31-0500","::636",636,3
DISPARO,S019,8,"2026-09-19T14:37:33-0500","::642",642,3
DISPARO,S019,9,"2026-09-19T14:37:34-0500","::641",641,3
VEREDICTO,S019,DUDOSO,0,repetida
SERIE,S020,"2026-09-19T14:37:41-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P36,0,e
DISPARO,S020,1,"2026-09-19T14:37:44-0500","::635",635,1
DISPARO,S020,2,"2026-09-19T14:37:46-0500","::633",633,1
DISPARO,S020,3,"2026-09-19T14:37:47-0500","::634",634,1
DISPARO,S020,4,"2026-09-19T14:37:52-0500","::649",649,2
DISPARO,S020,5,"2026-09-19T14:37:54-0500","::646",646,2
DISPARO,S020,6,"2026-09-19T14:37:56-0500","::633",633,2
DISPARO,S020,7,"2026-09-19T14:38:04-0500","::619",619,3
DISPARO,S020,8,"2026-09-19T14:38:06-0500","::632",632,3
DISPARO,S020,9,"2026-09-19T14:38:08-0500","::627",627,3
VEREDICTO,S020,DUDOSO,0,repetida
SERIE,S021,"2026-09-19T14:38:27-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P36,0,e
DISPARO,S021,1,"2026-09-19T14:38:30-0500","::638",638,1
DISPARO,S021,2,"2026-09-19T14:38:32-0500","::642",642,1
DISPARO,S021,3,"2026-09-19T14:38:33-0500","::641",641,1
DISPARO,S021,4,"2026-09-19T14:38:38-0500","::636",636,2
DISPARO,S021,5,"2026-09-19T14:38:39-0500","::637",637,2
DISPARO,S021,6,"2026-09-19T14:38:41-0500","::644",644,2
DISPARO,S021,7,"2026-09-19T14:38:45-0500","::642",642,3
DISPARO,S021,8,"2026-09-19T14:38:47-0500","::639",639,3
DISPARO,S021,9,"2026-09-19T14:38:49-0500","::646",646,3
VEREDICTO,S021,DUDOSO,1,Ok
SERIE,S022,"2026-09-19T14:39:31-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P40,0,e
DISPARO,S022,1,"2026-09-19T14:39:34-0500","::630",630,1
DISPARO,S022,2,"2026-09-19T14:39:35-0500","::639",639,1
DISPARO,S022,3,"2026-09-19T14:39:37-0500","::641",641,1
DISPARO,S022,4,"2026-09-19T14:39:43-0500","::631",631,2
DISPARO,S022,5,"2026-09-19T14:39:45-0500","::631",631,2
DISPARO,S022,6,"2026-09-19T14:39:46-0500","::632",632,2
DISPARO,S022,7,"2026-09-19T14:39:52-0500","::634",634,3
DISPARO,S022,8,"2026-09-19T14:39:54-0500","::636",636,3
DISPARO,S022,9,"2026-09-19T14:39:56-0500","::619",619,3
VEREDICTO,S022,OK,1,
SERIE,S023,"2026-09-19T14:40:10-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P41,0,e
DISPARO,S023,1,"2026-09-19T14:40:12-0500","::911",911,1
DISPARO,S023,2,"2026-09-19T14:40:14-0500","::896",896,1
DISPARO,S023,3,"2026-09-19T14:40:16-0500","::906",906,1
DISPARO,S023,4,"2026-09-19T14:40:25-0500","::908",908,2
DISPARO,S023,5,"2026-09-19T14:40:26-0500","::904",904,2
DISPARO,S023,6,"2026-09-19T14:40:28-0500","::907",907,2
DISPARO,S023,7,"2026-09-19T14:40:34-0500","::914",914,3
DISPARO,S023,8,"2026-09-19T14:40:36-0500","::910",910,3
DISPARO,S023,9,"2026-09-19T14:40:37-0500","::911",911,3
VEREDICTO,S023,OK,1,
SERIE,S024,"2026-09-19T14:41:33-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P42,0,e
DISPARO,S024,1,"2026-09-19T14:41:36-0500","::614",614,1
DISPARO,S024,2,"2026-09-19T14:41:38-0500","::601",601,1
DISPARO,S024,3,"2026-09-19T14:41:39-0500","::621",621,1
DISPARO,S024,4,"2026-09-19T14:41:44-0500","::610",610,2
DISPARO,S024,5,"2026-09-19T14:41:46-0500","::610",610,2
DISPARO,S024,6,"2026-09-19T14:41:47-0500","::619",619,2
DISPARO,S024,7,"2026-09-19T14:41:52-0500","::621",621,3
DISPARO,S024,8,"2026-09-19T14:41:53-0500","::609",609,3
DISPARO,S024,9,"2026-09-19T14:41:55-0500","::624",624,3
VEREDICTO,S024,OK,1,
SERIE,S025,"2026-09-19T14:42:46-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P45,0,e
DISPARO,S025,1,"2026-09-19T14:42:49-0500","::624",624,1
DISPARO,S025,2,"2026-09-19T14:42:50-0500","::628",628,1
DISPARO,S025,3,"2026-09-19T14:42:52-0500","::613",613,1
DISPARO,S025,4,"2026-09-19T14:42:57-0500","::622",622,2
DISPARO,S025,5,"2026-09-19T14:42:58-0500","::617",617,2
DISPARO,S025,6,"2026-09-19T14:43:00-0500","::614",614,2
DISPARO,S025,7,"2026-09-19T14:43:05-0500","::618",618,3
DISPARO,S025,8,"2026-09-19T14:43:07-0500","::624",624,3
DISPARO,S025,9,"2026-09-19T14:43:08-0500","::614",614,3
VEREDICTO,S025,OK,1,
SERIE,S026,"2026-09-19T14:43:44-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P46,0,e
DISPARO,S026,1,"2026-09-19T14:43:47-0500","::640",640,1
DISPARO,S026,2,"2026-09-19T14:43:48-0500","::648",648,1
DISPARO,S026,3,"2026-09-19T14:43:50-0500","::645",645,1
DISPARO,S026,4,"2026-09-19T14:43:55-0500","::651",651,2
DISPARO,S026,5,"2026-09-19T14:43:57-0500","::644",644,2
DISPARO,S026,6,"2026-09-19T14:43:59-0500","::647",647,2
DISPARO,S026,7,"2026-09-19T14:44:03-0500","::646",646,3
DISPARO,S026,8,"2026-09-19T14:44:05-0500","::646",646,3
DISPARO,S026,9,"2026-09-19T14:44:06-0500","::651",651,3
VEREDICTO,S026,DUDOSO,1,Ok
SERIE,S027,"2026-09-19T14:44:37-0500",SLV-002,"00:21:13:05:19:3B",V3.6 2026-09-19 (3.6.2) CAL mascara 0003,P47,0,e
DISPARO,S027,1,"2026-09-19T14:44:39-0500","::624",624,1
DISPARO,S027,2,"2026-09-19T14:44:41-0500","::619",619,1
DISPARO,S027,3,"2026-09-19T14:44:43-0500","::619",619,1
DISPARO,S027,4,"2026-09-19T14:44:47-0500","::614",614,2
DISPARO,S027,5,"2026-09-19T14:44:49-0500","::614",614,2
DISPARO,S027,6,"2026-09-19T14:44:51-0500","::621",621,2
DISPARO,S027,7,"2026-09-19T14:44:55-0500","::598",598,3
DISPARO,S027,8,"2026-09-19T14:44:57-0500","::612",612,3
DISPARO,S027,9,"2026-09-19T14:44:58-0500","::611",611,3
